MSZoning,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice_Log,GrLivArea_Log,LotArea_Log,MSZ_num,NbHd_num,ExtQ_num,BsQ_num,KiQ_num
RL,7,2003,2003,196.0,856,856,2,8,0,2003.0,2,548,12.247694320220994,7.444248649496705,9.041921720351219,3,2,3,2,3
RL,6,1976,1976,0.0,1262,1262,2,6,1,1976.0,2,460,12.109010932687042,7.140453043101158,9.169518377455928,3,2,2,2,2
RL,7,2001,2002,162.0,920,920,2,6,1,2001.0,2,608,12.31716669303576,7.487733761436444,9.328123407632566,3,2,3,2,3
RL,7,1915,1970,0.0,756,961,1,7,1,1998.0,3,642,11.84939770159144,7.448333860897476,9.164296433474776,3,2,2,1,3
RL,8,2000,2000,350.0,1145,1145,2,9,1,2000.0,3,836,12.429216196844383,7.6953031349635665,9.565213693968287,3,3,3,2,3
RL,5,1993,1995,0.0,796,796,1,5,0,1993.0,2,480,11.870599909242044,7.216709486709457,9.55499334068759,3,1,2,2,2
RL,8,2004,2005,186.0,1686,1694,2,7,1,2004.0,2,636,12.634603026569334,7.434847875211999,9.218705288307811,3,2,3,3,3
RL,7,1973,1973,240.0,1107,1107,2,7,2,1973.0,2,484,12.206072645530174,7.644919344958857,9.247828816387175,3,2,2,2,2
RM,7,1931,1950,0.0,952,1022,2,8,2,1931.0,2,468,11.77452020265869,7.480992162869525,8.719317375506371,2,1,2,1,2
RL,5,1939,1950,0.0,991,1077,1,5,2,1939.0,1,205,11.678439903447801,6.981934677156389,8.911934336161426,3,1,2,1,2
RL,5,1965,1965,0.0,1040,1040,1,5,0,1965.0,1,384,11.771436160121729,6.946975992135418,9.323669057283185,3,1,2,1,2
RL,9,2005,2006,286.0,1175,1182,3,11,2,2005.0,3,736,12.751299696013497,7.751045117971802,9.386308454797962,3,3,4,3,4
RL,5,1962,1962,0.0,912,912,1,4,0,1962.0,1,352,11.877568578558138,6.815639990074331,9.470240063415512,3,1,2,1,2
RL,7,2006,2007,306.0,1494,1494,2,7,1,2006.0,3,840,12.540757571577291,7.309212365692763,9.273502946933823,3,2,3,2,3
RL,6,1960,1960,212.0,1253,1253,1,5,1,1960.0,1,352,11.964001084330445,7.133295954896068,9.298351249298896,3,1,2,1,2
RM,7,1929,2001,0.0,832,854,1,5,0,1991.0,2,576,11.790557201568507,6.74993119378857,8.719317375506371,2,1,2,1,2
RL,6,1970,1970,180.0,1004,1004,1,5,1,1970.0,2,480,11.911701584927597,6.911747300251674,9.327323087461798,3,1,2,1,2
RL,4,1967,1967,0.0,0,1296,2,6,0,1967.0,2,516,11.407564949312402,7.16703787691222,9.286467732363734,3,1,2,1,2
RL,5,2004,2004,0.0,1114,1114,1,6,0,2004.0,2,576,11.976659481202368,7.01571242048723,9.524786081697178,3,1,2,1,3
RL,5,1958,1965,0.0,1029,1339,1,6,0,1958.0,1,294,11.842229212112828,7.199678345691172,8.930626469173578,3,1,2,1,2
RL,8,2005,2006,380.0,1158,1158,3,9,1,2005.0,3,853,12.692503112461443,7.773173680482536,9.5620530240851,3,3,3,3,3
RM,7,1930,1950,0.0,637,1108,1,6,1,1930.0,1,280,11.845102777308561,7.010311867307229,8.915835074176277,2,1,2,1,3
RL,8,2002,2002,281.0,1777,1795,2,7,1,2002.0,2,534,12.345834587905333,7.492760300922379,9.184201714366488,3,2,3,2,3
